ObjectID,Batch Reference,Supplier Code,Supplier Compound Number,Library ID,CAS Number,SMILES,Full Molecular Mass,Parent Molecular Mass,Plate ID,Well,Object Name,Drug Name,Analysis
YU226344,1,Microsource,1501021,Pharmakon 1600,"5053-08-7, 5053-06-5 [fenspiride]",Cl.O=C3(OC2(CCN(CCC1(=CC=CC=C1))CC2)(CN3)),296.79222,296.79222,M00966A,E005,FENSPIRIDE HYDROCHLORIDE,VIARESPAN,"antiinflammatory, bronchodilator, synthetic; NAT-333, NDR-5998A"
YU039793,4,Microsource,1502357,Pharmakon 1600,21498-08-8,ClC2(=C(OC(C1(=NCCN1))C)C(Cl)=CC=C2).Cl,295.5919,295.5919,M00966A,E006,LOFEXIDINE  HYDROCHLORIDE,BRITLOFEX,"antihypertensive, synthetic;MDL-14042"
YU033912,3,Microsource,1500415,Pharmakon 1600,38304-91-5,[O-][N+]2(=C(N=C(N1(CCCCC1))C=C2N)N),209.2485,209.2485,M00966A,E007,MINOXIDIL,minoxidil,"antihypertensive, antialopecia agent, synthetic; U-10858"
YU226387,1,Microsource,1501187,Pharmakon 1600,"77326-96-6, 3385-03-3",FC2(C1(=CC(=O)C=CC1(C3(C(O)CC4(C(C3(C2))CC5(OC(OC45(C(=O)CO))(C)C))(C)))C)),434.49774,434.4977432,M00966A,E008,FLUNISOLIDE,AEROBID,"antiinflammatory, semisynthetic; RS-3999"
YU226345,1,Microsource,1501108,Pharmakon 1600,1227-61-8,Cl.O=C(NCCN(CC)CC)COC1(=CC=C(OC)C=C1),316.82338,316.82338,M00966A,E009,MEFEXAMIDE HYDROCHLORIDE,,"CNS stimulant, synthetic"
YU226388,1,Microsource,1501196,Pharmakon 1600,2135-17-3,FC23(C1(C(=CC(=O)C=C1)C(F)CC2C4(CC(C)C(C4(CC3O)(C))(O)C(=O)CO))(C)),410.4515264,410.4515264,M00966A,E010,FLUMETHASONE,flumetasone,"antiinflammatory, semisynthetic; U-10974"
YU226346,1,Microsource,1505396,Pharmakon 1600,2321-07-05 00:00:00,O=C4(OC1(C3(=C(OC2(=C1C=CC(=C2)O))C=C(O)C=C3))(C5(=C4C=CC=C5))),332.30628,332.30628,M00966A,E011,FLUORESCEIN,FUNDUSCEIN,"corneal trama indicator, synthetic"
YU225028,2,Microsource,1501200,Pharmakon 1600,"23076-35-9, 7361-61-7 [xylazine]",S1(C(=NCCC1)NC2(=C(C=CC=C2C)C)),220.33492,220.33492,M00966A,E012,XYLAZINE,xylazine,"analgesic, synthetic"
YU226347,1,Microsource,1505420,Pharmakon 1600,81-13-0,O=C(NCCCO)C(O)C(CO)(C)C,205.2515,205.2515,M00966A,E013,DEXPANTHENOL,dexpanthenol,DB09357
YU034235,4,Microsource,1501201,Pharmakon 1600,1156-19-0,S(=O)(=O)(NC(=O)NN1(CCCCCC1))C2(=CC=C(C)C=C2),311.40096,311.40096,M00966A,E014,TOLAZAMIDE,tolazamide,"antidiabetic, synthetic; U-17835"
YU226348,1,Microsource,1505399,Pharmakon 1600,1508-65-2,Cl.O=C(OCC#CCN(CC)CC)C(O)(C1(=CC=CC=C1))C2(CCCCC2),393.94712,393.94712,M00966A,E015,OXYBUTYNIN CHLORIDE,DITROPAN,"anticholinergic, synthetic; MJ-4309-1, 5058"
YU225083,2,Microsource,1501202,Pharmakon 1600,"357-70-0, 1953-04-4 [hydrobromide]",O2(C1(=C(OC)C=CC4(=C1C3(C2CC(O)C=C3)(CCN(C4)C)))),287.35358,287.35358,M00966A,E016,GALANTAMINE,galantamine,"anticholinesterase, analgesic, antiAlzheimer, Galanthus, Narcissus and other Lillaceae"
YU226349,1,Microsource,1505519,Pharmakon 1600,51781-21-6,Cl.O=C2(NC1(=C(C(OCC(O)CNC(C)(C)C)=CC=C1)CC2)),328.83408,328.83408,M00966A,E017,CARTEOLOL HYDROCHLORIDE,CARTROL,"beta-adrenergic blocker, synthetic; OPC-1085"
YU226389,1,Microsource,1506183,Pharmakon 1600,503-49-1,O=C(O)CC(O)(CC(=O)O)C,162.1406,162.1406,M00966A,E018,MEGLUTOL,meglutol,"antihyperlipoproteinemia, synthesis; CB-337"
YU226350,1,Microsource,1505572,Pharmakon 1600,550-83-4,Cl.O=C(OCCN(CC)CC)C1(=C(OCCC)C=C(N)C=C1),330.84996,330.84996,M00966A,E019,PROPOXYCAINE HYDROCHLORIDE,BLOCKAIN,"local anesthetic, synthetic"
YU226390,1,Microsource,1502281,Pharmakon 1600,129453-61-8,S(=O)(CCCC(F)(F)C(F)(F)F)CCCCCCCCCC1(C3(C(C=2(C=CC(=CC=2(C1))O))CCC4(C3CCC4O)(C))),606.7718,606.771796,M00966A,E020,FULVESTRANT,FASLODEX,"antiestrogen, synthetic; ICI-182780, ZD-9238"
YU033918,4,Microsource,1500425,Pharmakon 1600,22204-53-1,O=C(O)C(C2(=CC=1(C(=CC(OC)=CC=1)C=C2)))C,230.25916,230.25916,M00966A,E021,NAPROXEN(+),ALEVE,"antiinflammatory, analgesic, antipyretic, synthetic; RS-3650"
YU034241,3,Microsource,1501215,Pharmakon 1600,22071-15-4,O=C(C1(=CC(=CC=C1)C(C(=O)O)C))C2(=CC=CC=C2),254.28056,254.28056,M00966A,E022,KETOPROFEN,ketoprofen,"antiinflammatory, synthetic; RP-19583"
YU226433,1,Microsource,1506104,Pharmakon 1600,55589-62-3,[K+].S1(=O)(=O)(OC(=CC([N-]1)=O)C),201.2432,201.2432,M00966A,F003,ACESULFAME POTASSIUM,SUNETT,"sweetener, synthetic"
YU226480,1,Microsource,1500107,Pharmakon 1600,58-61-7,O3(C(N2(C1(=NC=NC(=C1N=C2)N)))C(O)C(C3CO)O),267.24152,267.24152,M00966A,F004,ADENOSINE,ADENOCARD,"antiarrhythmic, cardiac depressant , widespread in living tissue"
YU226434,1,Microsource,1504094,Pharmakon 1600,29767-20-2,S1(C(=CC=C1)C8(OC7(C(O)C(O)C(OC5(C2(=C(C=C3(OCOC3(=C2)))C(C4(=CC(OC)=C(O)C(=C4)OC))C6(C5COC6=O))))OC7CO8))),656.65468,656.65468,M00966A,F005,TENIPOSIDE,VUMON,"antineoplastic, semisynthetic; VM-26"
YU221347,2,Microsource,1500108,Pharmakon 1600,315-30-0,O=C1(NC=NC2(=C1C=NN2)),136.11162,136.11162,M00966A,F006,ALLOPURINOL,ZYLOPRIM,"antihyperuricemia, antigout,  antiurolithic, synthetic"
YU034398,2,Microsource,1504105,Pharmakon 1600,1401-55-4,O=C(OC1(=C(O)C(O)=CC(=C1)C(=O)OC4(OC(C(OC(=O)C3(=CC(OC(=O)C2(=CC(O)=C(O)C(=C2)O))=C(O)C(=C3)O))C(C4OC(=O)C6(=CC(OC(=O)C5(=CC(O)=C(O)C(=C5)O))=C(O)C(=C6)O))OC(=O)C8(=CC(OC(=O)C7(=CC(O)=C(O)C(=C7)O))=C(O)C(=C8)O))COC(=O)C%10(=CC(OC(=O)C9(=CC(O)=C(O)C(=C9)O))=C(O)C(=C%10)O))))C%11(=CC(O)=C(O)C(=C%11)O),1701.19848,1701.19848,M00966A,F007,TANNIC ACID,,"nonspecific enzyme/receptor blocker, principal constituent of tree galls, esp Quercus spp;"
YU226481,1,Microsource,1500109,Pharmakon 1600,"5560-59-8, 150-59-4 [alverine]",O=C(O)C(O)(CC(=O)O)CC(=O)O.N(CCCC1(=CC=CC=C1))(CCCC2(=CC=CC=C2))CC,473.55864,473.55864,M00966A,F008,ALVERINE CITRATE,SPASMAVERINE,"anticholinergic, synthetic"
YU226435,1,Microsource,1502006,Pharmakon 1600,53716-49-7,ClC3(=CC1(=C(NC2(=C1C=CC(=C2)C(C(=O)O)C))C=C3)),273.71402,273.71402,M00966A,F009,CARPROFEN,carprofen,DB00821
YU224144,2,Microsource,1500110,Pharmakon 1600,"665-66-7, 768-94-5 [amantadine]",Cl.NC12(CC3(CC(C1)CC(C2)C3)),187.70936,187.70936,M00966A,F010,AMANTADINE HYDROCHLORIDE,SYMADINE,"antiviral, antiparkinsonian; treatment of drug-induced extrapyrimidal reactions, synthetic"
YU226436,1,Microsource,1503978,Pharmakon 1600,"747-36-4, 118-42-3 [hydroxychloroquine]",ClC2(=CC1(=NC=CC(=C1C=C2)NC(CCCN(CCO)CC)C)).S(=O)(=O)(O)O,433.95084,433.95084,M00966A,F011,HYDROXYCHLOROQUINE SULFATE,PLAQUENIL,"antimalarial, lupus suppressant, synthetic"
YU226482,1,Microsource,1500111,Pharmakon 1600,"39831-55-5, 37517-28-5 [amikacin]",S(=O)(=O)(O)O.S(=O)(=O)(O)O.O=C(NC3(C(OC1(OC(C(O)C(C1O)N)CO))C(O)C(OC2(OC(C(O)C(C2O)O)CN))C(C3)N))C(O)CCN,781.76168,781.76168,M00966A,F012,AMIKACIN SULFATE,amikacin,"antibacterial, semisynthetic"
YU039659,6,Microsource,1503611,Pharmakon 1600,6493-05-06 00:00:00,O=C1(N(C(=O)C=2(N(C)C=NC=2(N1C)))CCCCC(=O)C),278.30718,278.30718,M00966A,F013,PENTOXIFYLLINE,pentoxifylline,"PDE inhibitor, bronchodilator, vasodilator, synthetic; BL-191"
YU224095,2,Microsource,1500112,Pharmakon 1600,"17440-83-4, 2016-88-8 [anhydrous], 2609-46-3 [amiloride]",ClC1(=NC(=C(N)N=C1N)C(=O)NC(=N)N).Cl,266.08764,266.08764,M00966A,F014,AMILORIDE HYDROCHLORIDE,MIDAMOR,"Na+ channel inhibitor, diuretic, synthetic"
YU221060,2,Microsource,1504148,Pharmakon 1600,"1722-62-9, 96-88-8 [mepivacaine]",Cl.O=C(NC1(=C(C=CC=C1C)C))C2(N(CCCC2)C),282.8087,282.8087,M00966A,F015,MEPIVACAINE HYDROCHLORIDE,CARBOCAINE,"anesthetic (local), synthetic"
YU033686,2,Microsource,1500114,Pharmakon 1600,60-32-2,O=C(O)CCCCCN,131.17296,131.17296,M00966A,F016,AMINOCAPROIC ACID,AMICAR,"hemostatic, synthetic"
YU226437,1,Microsource,1504152,Pharmakon 1600,63612-50-0,FC(F)(F)C1(=C([N+](=O)[O-])C=CC(=C1)N2(C(=O)NC(C2=O)(C)C)),317.2208296,317.2208296,M00966A,F017,NILUTAMIDE,nilutamide,"antiandrogen, synthetic; RU-23908"
YU033687,3,Microsource,1500115,Pharmakon 1600,125-84-8,O=C1(NC(=O)CCC1(C2(=CC=C(N)C=C2))CC),232.27842,232.27842,M00966A,F018,AMINOGLUTETHIMIDE,aminoglutethimide,"aromatase inhibitor, antineoplastic, testosterone suppressant, synthetic"
YU221379,2,Microsource,1504184,Pharmakon 1600,5451-09-02 00:00:00,Cl.O=C(O)CCC(=O)CN,167.59054,167.59054,M00966A,F019,AMINOLEVULINIC ACID HYDROCHLORIDE,LEVULAN,"antineoplastic, synthetic"
YU226483,1,Microsource,1500116,Pharmakon 1600,6018-19-5,[Na+].O=C([O-])C1(=C(O)C=C(N)C=C1),175.11725,175.11725,M00966A,F020,AMINOSALICYLATE SODIUM,PAMISYL SODIUM,"antibacterial, tuberculostatic, synthetic"
YU034350,3,Microsource,1503078,Pharmakon 1600,72432-10-1,O=C2(N(C(=O)C1(=CC=C(OC)C=C1))CCC2),219.23656,219.23656,M00966A,F021,ANIRACETAM,aniracetam,"cognitive enhancer, synthetic; Ro-13-5057"
YU225229,2,Microsource,1500117,Pharmakon 1600,549-18-8,Cl.N(CCC=C2(C1(=C(C=CC=C1)CCC3(=C2C=CC=C3))))(C)C,313.864,313.864,M00966A,F022,AMITRIPTYLINE HYDROCHLORIDE,amitriptyline,"antidepressant, synthetic"
YU226351,1,Microsource,1500611,Pharmakon 1600,"143-67-9, 865-21-4 [vinblastine]",S(=O)(=O)(O)O.O=C(OC)C7(C1(=C(OC)C=C2(N(C)C4(C5(C2(=C1))(C3(N(CC=CC3(CC)C(C4(O)C(=O)OC)OC(=O)C)CC5))))))(C=6(NC=9(C=CC=CC=9(C=6CCN8(CC(C7)CC(O)(CC)C8))))),909.05376,909.05376,M00966A,G003,VINBLASTINE SULFATE,VELBAN,"antineoplastic, spindle poison, Vinca rosea"
YU034242,3,Microsource,1501217,Pharmakon 1600,"83915-83-7, 76547-98-3 [anhydrous]",O=C(O)C2(N(C(=O)C(NC(C(=O)O)CCC1(=CC=CC=C1))CCCCN)CCC2),405.48806,405.48806,M00966A,G004,LISINOPRIL,ZESTRIL,"ACE inhibitor, synthetic"
YU226352,1,Microsource,1502424,Pharmakon 1600,6971256-7,S1(C3(N(C(C(=O)O)=C(C1)CSC2(=NN=NN2C))C(=O)C3(OC)NC(=O)C4(SC(=C(C(=O)O)C(=O)N)S4))),575.62326,575.62326,M00966A,G005,CEFOTETAN,CEFOTAN,"antibacterial, semisynthetic; ICI-156834"
YU226391,1,Microsource,1503900,Pharmakon 1600,593282-20-3,S(=O)(=O)(O)C.O=C(OCCCCCC)N=C(N)C4(=CC=C(NCC2(=NC=3(C=C(C(=O)N(C1(=NC=CC=C1))CCC(=O)OCC)C=CC=3(N2C))))C=C4),723.84018,723.84018,M00966A,G006,DABIGATRAN ETEXILATE MESYLATE,PRADAXA,"antithrombotic, serine protease inhibitor, synthetic; BIBR-1048"
